"Phone Code","Description"
"81-531","Japan Toll Free-Landlines - CORP"
"81-002","virtualNumberType_description_JPTF-FIXEDONLY"
"81-663","Japan Toll Free-Limited"
"81-531","Japan Toll Free-Landlines"
"81-209","Japan Toll Free-Mobile-0120"
"81-002","Japan Toll Free-Mobile-0800"
"81-002","virtualNumberType_description_JPTF-MOBILE-FIXED"
"81-002","virtualNumberType_description_JPTF-MOBILEONLY"
"81-999","Nagoya"
"81-348","Japan Toll Free-NTT"
"81-999","Osaka"
"81-999","Sapporo"
"81-209","Tokyo Toll Free"
"81-209","Yokohama"
